Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 1.0 1.0 0.768 0.768 0.768 0.768 1.0 1.0 
0.4 0.993 0.993 0.252 0.252 0.252 0.252 1.0 1.0 
0.5 0.952 0.952 0.014 0.014 0.014 0.014 1.0 1.0 
0.6 0.771 0.756 0.002 0.002 0.002 0.002 0.993 0.991 
0.7 0.403 0.376 0.001 0.001 0.001 0.001 0.833 0.805 
0.8 0.11 0.095 0.001 0.001 0.001 0.001 0.336 0.3 
0.9 0.009 0.007 0.0 0.0 0.0 0.0 0.041 0.03 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.001 
