Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 1.0 1.0 0.773 0.773 0.773 0.773 1.0 1.0 
0.4 0.992 0.992 0.244 0.244 0.244 0.244 1.0 1.0 
0.5 0.948 0.947 0.013 0.013 0.013 0.013 1.0 1.0 
0.6 0.789 0.763 0.002 0.002 0.002 0.002 0.994 0.993 
0.7 0.395 0.365 0.001 0.001 0.001 0.001 0.808 0.777 
0.8 0.09 0.077 0.001 0.001 0.001 0.001 0.326 0.287 
0.9 0.006 0.006 0.0 0.0 0.0 0.0 0.059 0.051 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.0 
